Rk,Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
185,Rui Hachimura,24,33,22.4,9.6,4.7,0.7,0.2,0.4,0.485,0.296,0.721
186,Tyrese Haliburton,22,56,33.6,20.7,3.7,10.4,1.6,0.4,0.49,0.4,0.871
187,Jordan Hall,21,9,9.2,3.1,1.3,1.2,0.1,0,0.321,0.2,0.778
188,R.J. Hampton,21,47,16,6.4,1.9,1.1,0.6,0.2,0.43,0.353,0.75
188,R.J. Hampton,21,26,13.9,5.7,1.5,1.3,0.6,0.2,0.439,0.34,0.838
188,R.J. Hampton,21,21,18.5,7.3,2.3,1,0.5,0.2,0.423,0.365,0.667
189,Tim Hardaway Jr.,30,71,30.3,14.4,3.5,1.8,0.7,0.2,0.401,0.385,0.77
190,James Harden,33,58,36.8,21,6.1,10.7,1.2,0.5,0.441,0.385,0.867
191,Jaden Hardy,20,48,14.8,8.8,1.9,1.4,0.4,0.1,0.438,0.404,0.823
192,Ron Harper Jr.,22,9,5.3,2.2,0.8,0.4,0,0.1,0.5,0.333,1
193,Montrezl Harrell,29,57,11.9,5.6,2.8,0.6,0.3,0.4,0.598,0,0.693
194,Gary Harris,28,48,24.7,8.3,2,1.2,0.9,0.3,0.45,0.431,0.9
195,Joe Harris,31,74,20.6,7.6,2.2,1.4,0.5,0.2,0.457,0.426,0.643
196,Kevon Harris,25,34,13.4,4.1,2.1,0.5,0.5,0.1,0.439,0.372,0.756
197,Tobias Harris,30,74,32.9,14.7,5.7,2.5,0.9,0.5,0.501,0.389,0.876
198,Shaquille Harrison,29,5,24,8.8,4.4,6,2.2,0.4,0.417,0.3,0.733
199,Josh Hart,27,76,32.3,9.8,7.8,3.8,1.2,0.3,0.529,0.372,0.75
199,Josh Hart,27,51,33.4,9.5,8.2,3.9,1.1,0.2,0.504,0.304,0.731
199,Josh Hart,27,25,30,10.2,7,3.6,1.4,0.5,0.586,0.519,0.789
200,Isaiah Hartenstein,24,82,19.8,5,6.5,1.2,0.6,0.8,0.535,0.216,0.676
201,Udonis Haslem,42,7,10.1,3.9,1.6,0,0.1,0.3,0.345,0.333,0.8
202,Sam Hauser,25,80,16.1,6.4,2.6,0.9,0.4,0.3,0.455,0.418,0.706
203,Jaxson Hayes,22,47,13,5,2.8,0.7,0.4,0.4,0.551,0.103,0.699
204,Killian Hayes,21,76,28.3,10.3,2.9,6.2,1.4,0.4,0.377,0.28,0.821
205,Gordon Hayward,32,50,31.5,14.7,4.3,4.1,0.8,0.2,0.475,0.325,0.811
206,Juancho Hernangómez,27,42,14.6,2.9,2.9,0.6,0.4,0.1,0.421,0.254,0.563
207,Willy Hernangómez,28,38,12.1,6.9,4.7,0.9,0.4,0.3,0.527,0.273,0.779
208,Tyler Herro,23,67,34.9,20.1,5.4,4.2,0.8,0.2,0.439,0.378,0.934
209,Buddy Hield,30,80,31,16.8,5,2.8,1.2,0.3,0.458,0.425,0.822
210,Haywood Highsmith,26,54,17.9,4.4,3.5,0.8,0.7,0.3,0.431,0.339,0.464
211,George Hill,36,46,18.1,5,1.8,2.4,0.6,0.1,0.47,0.358,0.764
211,George Hill,36,35,19.1,5,1.9,2.5,0.5,0.1,0.447,0.311,0.739
211,George Hill,36,11,15.1,5.2,1.6,1.9,0.6,0.3,0.559,0.524,0.889
212,Malcolm Hill,27,5,1.8,1,0.6,0,0,0,0.5,0.333,0
213,Aaron Holiday,26,63,13.4,3.9,1.2,1.4,0.6,0.2,0.418,0.409,0.844
214,Jrue Holiday,32,67,32.6,19.3,5.1,7.4,1.2,0.4,0.479,0.384,0.859
215,Justin Holiday,33,46,15.3,4.5,1.2,0.9,0.4,0.4,0.377,0.322,0.625
215,Justin Holiday,33,28,14.7,4.5,0.8,0.9,0.2,0.4,0.384,0.345,0
215,Justin Holiday,33,18,16.4,4.4,1.8,0.9,0.8,0.5,0.367,0.286,0.625
216,Richaun Holmes,29,42,8.3,3.1,1.9,0.2,0.1,0.3,0.618,0.625,0.789
217,Al Horford,36,63,30.5,9.8,6.2,3,0.5,1,0.476,0.446,0.714
218,Talen Horton-Tucker,22,65,20.2,10.7,3.2,3.8,0.6,0.4,0.419,0.286,0.75
219,Danuel House Jr.,29,56,14.4,4.8,1.7,0.8,0.3,0.2,0.472,0.336,0.75
220,Caleb Houstan,20,51,15.9,3.8,1.9,0.6,0.2,0.1,0.363,0.338,0.833
